,AC,coh,sex,imm,mrt,p,pp,ex60,ex65
159,60,1945,0,1,0,99,99,27.658247025777843,23.144317097825212
160,60,1945,0,1,1,99,99,29.909132716496007,25.306206300382552
161,60,1945,0,1,2,99,99,28.006178352462054,23.477346199132295
162,60,1945,1,0,0,99,99,21.335119976723202,17.1860968772579
163,60,1945,1,0,1,99,99,23.429790774488694,19.13732025612268
164,60,1945,1,0,2,99,99,21.65674021827244,17.483950750377357
165,60,1945,1,1,0,99,99,23.331970003790072,19.04563368658464
166,60,1945,1,1,1,99,99,25.487126094115258,21.076904270836074
167,60,1945,1,1,2,99,99,23.66375508968052,19.35682120600749
168,60,1950,0,0,0,99,99,25.854223711323197,21.42508759966473
169,60,1950,0,0,1,99,99,28.070126017760433,23.53860285959492
170,60,1950,0,0,2,99,99,26.196243696642032,21.750011654594825
171,60,1950,0,1,0,99,99,27.967214889751503,23.440029606352006
172,60,1950,0,1,1,99,99,30.223478033221856,25.609434547081936
173,60,1950,0,1,2,99,99,28.31605890127692,23.77432271695062
174,60,1950,1,0,0,99,99,21.62068146249795,17.45052322013343
175,60,1950,1,0,1,99,99,23.724791950830777,19.414132560045548
176,60,1950,1,0,2,99,99,21.943886546763196,17.75043839108691
177,60,1950,1,1,0,99,99,23.626573743230804,19.321918915396836
178,60,1950,1,1,1,99,99,25.789646687718754,21.363794945372835
179,60,1950,1,1,2,99,99,23.95969112596918,19.63487541456619
180,61,1926,0,0,0,99,99,24.532468526278606,20.1743087607525
181,61,1926,0,0,1,99,99,26.718456743928332,22.247067049181055
182,61,1926,0,0,2,99,99,24.86944482821511,20.492420159496987
183,61,1926,0,1,0,99,99,26.616798686747188,22.15021877008382
184,61,1926,0,1,1,99,99,28.848256721983223,24.28514236509404
185,61,1926,0,1,2,99,99,26.96144447857102,22.478726135411634
186,61,1926,1,0,0,99,99,20.377675069736163,16.303549272105833
187,61,1926,1,0,1,99,99,22.438520627161573,18.210680224358935
188,61,1926,1,0,2,99,99,20.693620656858087,16.594069601924755
189,61,1926,1,1,0,99,99,22.34212529637615,18.12087145812109
190,61,1926,1,1,1,99,99,24.468862690628445,20.114325316326045
191,61,1926,1,1,2,99,99,22.669131506140282,18.42575604242875
192,61,1930,0,0,0,99,99,25.02187657569216,20.63649562882833
193,61,1930,0,0,1,99,99,27.219403177527155,22.724912907275517
194,61,1930,0,0,2,99,99,25.360797460647206,20.957223139033548
195,61,1930,0,1,0,99,99,27.117261541069652,22.62740148041528
196,61,1930,0,1,1,99,99,29.358308746039068,24.775600934528384
197,61,1930,0,1,2,99,99,27.463527593738085,22.958133279322226
198,61,1930,1,0,0,99,99,20.83675989781886,16.725924276581253
199,61,1930,1,0,1,99,99,22.91425679044454,18.65470594192
200,61,1930,1,0,2,99,99,21.15549815633402,17.02004480035586
