,AC,coh,dis,sex,imm,mrt,p,pp,ex60,ex65
68,65,1945,0,99,99,99,99,99,25.833581540447096,21.46376721314074
69,65,1945,1,99,99,99,99,99,20.697207084555167,16.667359099491637
70,65,1950,0,99,99,99,99,99,26.117688283848555,21.732942721499263
71,65,1950,1,99,99,99,99,99,20.960081490277584,16.90905757608301
72,60,1926,0,0,99,99,99,99,25.670895027452172,21.282771392709385
73,60,1926,0,1,99,99,99,99,21.77725293818801,17.63233180551234
74,60,1926,1,0,99,99,99,99,20.905275088333614,16.826753047510948
75,60,1926,1,1,99,99,99,99,17.33251378403412,13.587327181699942
76,60,1930,0,0,99,99,99,99,26.21485273955399,21.798638360676044
77,60,1930,0,1,99,99,99,99,22.292956346597652,18.111046296802716
78,60,1930,1,0,99,99,99,99,21.413000038742346,17.29520872321265
79,60,1930,1,1,99,99,99,99,17.79858118170242,14.003327015740249
80,60,1935,0,0,99,99,99,99,26.75799680725615,22.31497468174069
81,60,1935,0,1,99,99,99,99,22.809270498678966,18.59192112516187
82,60,1935,1,0,99,99,99,99,21.921725866287986,17.766277295527413
83,60,1935,1,1,99,99,99,99,18.267619301286455,14.424218238918318
84,60,1940,0,0,99,99,99,99,26.847899493934882,22.400555791608614
85,60,1940,0,1,99,99,99,99,22.894860283731415,18.671784673981293
86,60,1940,1,0,99,99,99,99,22.006094697568855,17.844558344485485
87,60,1940,1,1,99,99,99,99,18.345596058807264,14.494397725556082
88,60,1945,0,0,99,99,99,99,27.029237946098682,22.573275149502795
89,60,1945,0,1,99,99,99,99,23.06760710341095,18.833099727778794
90,60,1945,1,0,99,99,99,99,22.17640832893163,18.00271570802468
91,60,1945,1,1,99,99,99,99,18.503165788696464,14.636385493100644
92,60,1950,0,0,99,99,99,99,27.26158441174786,22.794766464240958
93,60,1950,0,1,99,99,99,99,23.2891522674722,19.040225934045868
94,60,1950,1,0,99,99,99,99,22.39489269101742,18.20586204603985
